,Topic,Word,P
0,0,team,0.0061877235
1,0,league,0.0053755655
2,0,side,0.0040232027
3,0,game,0.004015164
4,0,united,0.0039571403
5,0,home,0.003899243
6,0,second,0.0036333986
7,0,play,0.003551217
8,0,cup,0.0034711617
9,0,season,0.003450905
10,1,back,0.004243341
11,1,win,0.0038104365
12,1,open,0.00362314
13,1,players,0.0031314644
14,1,team,0.0028667906
15,1,time,0.0025792173
16,1,play,0.0025422075
17,1,season,0.0024731024
18,1,cup,0.0024401282
19,1,week,0.002376327
20,2,team,0.0039393324
21,2,cup,0.0035485674
22,2,match,0.003060289
23,2,game,0.0028878115
24,2,back,0.0028805046
25,2,athletes,0.0028456026
26,2,next,0.0027960727
27,2,win,0.0027266687
28,2,sport,0.0026760525
29,2,league,0.002664865
30,3,cup,0.007157375
31,3,team,0.005466438
32,3,league,0.005317874
33,3,time,0.004354953
34,3,season,0.0041282424
35,3,united,0.003330063
36,3,coach,0.003304885
37,3,get,0.0030884147
38,3,side,0.0029075285
39,3,club,0.0028682295
40,4,league,0.0053929123
41,4,cup,0.00534875
42,4,players,0.0051885713
43,4,team,0.0046444796
44,4,win,0.004453818
45,4,time,0.0038785816
46,4,coach,0.003757739
47,4,game,0.0035812568
48,4,season,0.0033099474
49,4,women,0.0032509684
