,Topic,Word,P
0,0,players,0.0044367593
1,0,time,0.0043526697
2,0,team,0.0036740087
3,0,season,0.0032594653
4,0,images,0.0028606541
5,0,nfl,0.0026687451
6,0,women,0.0025185742
7,0,sport,0.0024964502
8,0,fans,0.002447555
9,0,game,0.0023025593
10,1,team,0.0063272784
11,1,league,0.0036671977
12,1,players,0.0036171845
13,1,fans,0.003261686
14,1,season,0.003159475
15,1,djokovic,0.003137489
16,1,us,0.0031331247
17,1,women,0.0028488229
18,1,time,0.0027303298
19,1,open,0.0026682902
20,2,final,0.0041280743
21,2,time,0.0035807802
22,2,nfl,0.0034679428
23,2,season,0.003293796
24,2,club,0.0032797633
25,2,league,0.002984586
26,2,years,0.0029826225
27,2,players,0.0029657916
28,2,team,0.002780876
29,2,game,0.002455533
30,3,players,0.0052773794
31,3,team,0.0049188677
32,3,time,0.004303401
33,3,cup,0.003636304
34,3,club,0.003052759
35,3,statement,0.0027964097
36,3,women,0.0027227306
37,3,league,0.0026848647
38,3,benn,0.0024724482
39,3,national,0.0024107136
40,4,cup,0.0049627563
41,4,team,0.004788693
42,4,tour,0.0046287426
43,4,players,0.0043413388
44,4,woods,0.004249923
45,4,football,0.0038249297
46,4,final,0.0037464004
47,4,images,0.0034738805
48,4,going,0.0034101135
49,4,tournament,0.0032569433
50,5,time,0.004510233
51,5,team,0.004264624
52,5,final,0.004090664
53,5,fans,0.0036255752
54,5,cup,0.0034452057
55,5,us,0.003407123
56,5,open,0.003344864
57,5,players,0.0031650395
58,5,play,0.003118165
59,5,game,0.00302243
60,6,team,0.0075706104
61,6,statement,0.0032732799
62,6,fans,0.0027345044
63,6,football,0.0026939833
64,6,cup,0.0025694433
65,6,sunday,0.0024923906
66,6,boxing,0.0024159425
67,6,time,0.0023884098
68,6,game,0.0022760797
69,6,league,0.002195494
70,7,team,0.008031631
71,7,football,0.004339671
72,7,cup,0.0042606653
73,7,women,0.004122517
74,7,players,0.00326416
75,7,national,0.0032089767
76,7,statement,0.0031528547
77,7,sport,0.0031521649
78,7,time,0.0030516707
79,7,palestinian,0.0029752213
